county,age_cat,sex,race_ethnicity,dt_diagnosis,time_int,new_infections,cumulative_infected,new_unrecovered,cumulative_unrecovered,new_severe,cumulative_severe
Alameda County,0-17,FEMALE,4,2023-07-17,202329,18,78,2,2,0,0
Alameda County,0-17,FEMALE,4,2023-07-24,202330,7,85,0,2,1,1
Alameda County,0-17,FEMALE,4,2023-07-31,202331,32,117,0,2,0,1
Alameda County,0-17,FEMALE,4,2023-08-07,202332,28,145,2,4,0,1
Alameda County,0-17,FEMALE,4,2023-08-14,202333,35,180,1,5,0,1
Alameda County,0-17,FEMALE,4,2023-08-21,202334,63,243,2,7,0,1
Alameda County,0-17,FEMALE,4,2023-08-28,202335,93,336,2,9,0,1
Alameda County,0-17,FEMALE,4,2023-09-04,202336,77,413,2,11,0,1
Alameda County,0-17,FEMALE,4,2023-09-11,202337,74,487,2,13,0,1
Alameda County,0-17,FEMALE,4,2023-09-18,202338,109,596,1,14,0,1
Alameda County,0-17,FEMALE,4,2023-09-25,202339,74,670,2,16,0,1
Alameda County,0-17,FEMALE,4,2023-10-02,202340,79,749,0,16,1,2
Alameda County,0-17,FEMALE,4,2023-10-09,202341,65,814,0,16,0,2
Alameda County,0-17,FEMALE,4,2023-10-16,202342,104,918,1,17,0,2
Alameda County,0-17,FEMALE,4,2023-10-23,202343,68,986,6,23,0,2
Alameda County,0-17,FEMALE,4,2023-10-30,202344,48,1034,1,24,0,2
Alameda County,0-17,FEMALE,4,2023-11-06,202345,43,1077,0,24,0,2
Alameda County,0-17,FEMALE,4,2023-11-13,202346,12,1089,1,25,0,2
Alameda County,0-17,FEMALE,4,2023-11-20,202347,0,1089,0,25,0,2
Alameda County,0-17,FEMALE,4,2023-11-27,202348,0,1089,0,25,0,2
Alameda County,0-17,FEMALE,4,2023-12-04,202349,0,1089,0,25,0,2
Alameda County,0-17,FEMALE,4,2023-12-11,202350,1,1090,0,25,0,2
Alameda County,0-17,FEMALE,4,2023-12-18,202351,0,1090,0,25,0,2
Alameda County,0-17,FEMALE,4,2023-12-25,202352,0,1090,0,25,0,2
Alameda County,0-17,FEMALE,5,2023-05-29,202322,0,0,0,0,0,0
Alameda County,0-17,FEMALE,5,2023-06-05,202323,0,0,0,0,0,0
Alameda County,0-17,FEMALE,5,2023-06-12,202324,0,0,0,0,0,0
Alameda County,0-17,FEMALE,5,2023-06-19,202325,0,0,0,0,0,0
Alameda County,0-17,FEMALE,5,2023-06-26,202326,0,0,0,0,0,0
Alameda County,0-17,FEMALE,5,2023-07-03,202327,0,0,0,0,0,0
Alameda County,0-17,FEMALE,5,2023-07-10,202328,0,0,0,0,0,0
Alameda County,0-17,FEMALE,5,2023-07-17,202329,0,0,0,0,0,0
Alameda County,0-17,FEMALE,5,2023-07-24,202330,0,0,0,0,0,0
Alameda County,0-17,FEMALE,5,2023-07-31,202331,1,1,0,0,0,0
Alameda County,0-17,FEMALE,5,2023-08-07,202332,1,2,0,0,0,0
Alameda County,0-17,FEMALE,5,2023-08-14,202333,1,3,0,0,0,0
Alameda County,0-17,FEMALE,5,2023-08-21,202334,0,3,0,0,0,0
Alameda County,0-17,FEMALE,5,2023-08-28,202335,1,4,0,0,0,0
Alameda County,0-17,FEMALE,5,2023-09-04,202336,4,8,0,0,0,0
Alameda County,0-17,FEMALE,5,2023-09-11,202337,3,11,1,1,0,0
Alameda County,0-17,FEMALE,5,2023-09-18,202338,3,14,0,1,0,0
Alameda County,0-17,FEMALE,5,2023-09-25,202339,2,16,1,2,0,0
Alameda County,0-17,FEMALE,5,2023-10-02,202340,4,20,0,2,0,0
Alameda County,0-17,FEMALE,5,2023-10-09,202341,5,25,0,2,0,0
Alameda County,0-17,FEMALE,5,2023-10-16,202342,3,28,0,2,0,0
Alameda County,0-17,FEMALE,5,2023-10-23,202343,3,31,0,2,0,0
Alameda County,0-17,FEMALE,5,2023-10-30,202344,1,32,0,2,0,0
Alameda County,0-17,FEMALE,5,2023-11-06,202345,0,32,0,2,0,0
Alameda County,0-17,FEMALE,5,2023-11-13,202346,0,32,0,2,0,0
Alameda County,0-17,FEMALE,5,2023-11-20,202347,0,32,0,2,0,0
Alameda County,0-17,FEMALE,5,2023-11-27,202348,0,32,0,2,0,0
Alameda County,0-17,FEMALE,5,2023-12-04,202349,0,32,0,2,0,0
Alameda County,0-17,FEMALE,5,2023-12-11,202350,0,32,0,2,0,0
Alameda County,0-17,FEMALE,5,2023-12-18,202351,0,32,0,2,0,0
Alameda County,0-17,FEMALE,5,2023-12-25,202352,0,32,0,2,0,0
Alameda County,0-17,FEMALE,6,2023-05-29,202322,2,2,0,0,0,0
Alameda County,0-17,FEMALE,6,2023-06-05,202323,3,5,0,0,0,0
Alameda County,0-17,FEMALE,6,2023-06-12,202324,2,7,0,0,0,0
Alameda County,0-17,FEMALE,6,2023-06-19,202325,1,8,0,0,0,0
Alameda County,0-17,FEMALE,6,2023-06-26,202326,3,11,0,0,0,0
Alameda County,0-17,FEMALE,6,2023-07-03,202327,4,15,0,0,0,0
Alameda County,0-17,FEMALE,6,2023-07-10,202328,12,27,1,1,0,0
Alameda County,0-17,FEMALE,6,2023-07-17,202329,11,38,0,1,0,0
Alameda County,0-17,FEMALE,6,2023-07-24,202330,4,42,0,1,0,0
Alameda County,0-17,FEMALE,6,2023-07-31,202331,10,52,0,1,0,0
Alameda County,0-17,FEMALE,6,2023-08-07,202332,9,61,0,1,0,0
Alameda County,0-17,FEMALE,6,2023-08-14,202333,15,76,0,1,0,0
Alameda County,0-17,FEMALE,6,2023-08-21,202334,15,91,1,2,0,0
Alameda County,0-17,FEMALE,6,2023-08-28,202335,30,121,0,2,0,0
Alameda County,0-17,FEMALE,6,2023-09-04,202336,25,146,0,2,0,0
Alameda County,0-17,FEMALE,6,2023-09-11,202337,32,178,0,2,0,0
Alameda County,0-17,FEMALE,6,2023-09-18,202338,27,205,2,4,0,0
Alameda County,0-17,FEMALE,6,2023-09-25,202339,24,229,0,4,0,0
Alameda County,0-17,FEMALE,6,2023-10-02,202340,22,251,1,5,0,0
Alameda County,0-17,FEMALE,6,2023-10-09,202341,26,277,0,5,0,0
Alameda County,0-17,FEMALE,6,2023-10-16,202342,27,304,1,6,0,0
Alameda County,0-17,FEMALE,6,2023-10-23,202343,21,325,0,6,0,0
Alameda County,0-17,FEMALE,6,2023-10-30,202344,14,339,0,6,0,0
Alameda County,0-17,FEMALE,6,2023-11-06,202345,13,352,1,7,0,0
Alameda County,0-17,FEMALE,6,2023-11-13,202346,1,353,0,7,0,0
Alameda County,0-17,FEMALE,6,2023-11-20,202347,1,354,0,7,0,0
Alameda County,0-17,FEMALE,6,2023-11-27,202348,0,354,0,7,0,0
Alameda County,0-17,FEMALE,6,2023-12-04,202349,0,354,0,7,0,0
Alameda County,0-17,FEMALE,6,2023-12-11,202350,0,354,0,7,0,0
Alameda County,0-17,FEMALE,6,2023-12-18,202351,0,354,0,7,0,0
Alameda County,0-17,FEMALE,6,2023-12-25,202352,0,354,0,7,0,0
Alameda County,0-17,FEMALE,7,2023-05-29,202322,5,5,0,0,0,0
Alameda County,0-17,FEMALE,7,2023-06-05,202323,2,7,0,0,0,0
Alameda County,0-17,FEMALE,7,2023-06-12,202324,4,11,0,0,0,0
Alameda County,0-17,FEMALE,7,2023-06-19,202325,10,21,0,0,0,0
Alameda County,0-17,FEMALE,7,2023-06-26,202326,18,39,1,1,0,0
Alameda County,0-17,FEMALE,7,2023-07-03,202327,19,58,0,1,0,0
Alameda County,0-17,FEMALE,7,2023-07-10,202328,28,86,1,2,0,0
Alameda County,0-17,FEMALE,7,2023-07-17,202329,20,106,0,2,0,0
Alameda County,0-17,FEMALE,7,2023-07-24,202330,22,128,0,2,0,0
Alameda County,0-17,FEMALE,7,2023-07-31,202331,37,165,0,2,0,0
Alameda County,0-17,FEMALE,7,2023-08-07,202332,38,203,0,2,0,0
Alameda County,0-17,FEMALE,7,2023-08-14,202333,61,264,0,2,0,0
Alameda County,0-17,FEMALE,7,2023-08-21,202334,63,327,0,2,0,0
Alameda County,0-17,FEMALE,7,2023-08-28,202335,132,459,0,2,0,0
Alameda County,0-17,FEMALE,7,2023-09-04,202336,106,565,5,7,0,0
Alameda County,0-17,FEMALE,7,2023-09-11,202337,94,659,1,8,1,1
Alameda County,0-17,FEMALE,7,2023-09-18,202338,119,778,0,8,0,1
Alameda County,0-17,FEMALE,7,2023-09-25,202339,121,899,1,9,0,1
Alameda County,0-17,FEMALE,7,2023-10-02,202340,81,980,4,13,1,2
Alameda County,0-17,FEMALE,7,2023-10-09,202341,106,1086,2,15,0,2
Alameda County,0-17,FEMALE,7,2023-10-16,202342,87,1173,4,19,0,2
Alameda County,0-17,FEMALE,7,2023-10-23,202343,94,1267,1,20,0,2
Alameda County,0-17,FEMALE,7,2023-10-30,202344,56,1323,2,22,0,2
Alameda County,0-17,FEMALE,7,2023-11-06,202345,46,1369,1,23,0,2
Alameda County,0-17,FEMALE,7,2023-11-13,202346,14,1383,0,23,0,2
Alameda County,0-17,FEMALE,7,2023-11-20,202347,1,1384,0,23,0,2
Alameda County,0-17,FEMALE,7,2023-11-27,202348,3,1387,0,23,0,2
Alameda County,0-17,FEMALE,7,2023-12-04,202349,0,1387,0,23,0,2
Alameda County,0-17,FEMALE,7,2023-12-11,202350,3,1390,0,23,0,2
Alameda County,0-17,FEMALE,7,2023-12-18,202351,0,1390,0,23,0,2
Alameda County,0-17,FEMALE,7,2023-12-25,202352,0,1390,0,23,0,2
Alameda County,0-17,MALE,1,2023-05-29,202322,3,3,0,0,0,0
Alameda County,0-17,MALE,1,2023-06-05,202323,2,5,0,0,0,0
Alameda County,0-17,MALE,1,2023-06-12,202324,5,10,0,0,0,0
Alameda County,0-17,MALE,1,2023-06-19,202325,13,23,0,0,0,0
Alameda County,0-17,MALE,1,2023-06-26,202326,16,39,1,1,0,0
Alameda County,0-17,MALE,1,2023-07-03,202327,15,54,0,1,0,0
Alameda County,0-17,MALE,1,2023-07-10,202328,17,71,0,1,0,0
Alameda County,0-17,MALE,1,2023-07-17,202329,16,87,0,1,0,0
Alameda County,0-17,MALE,1,2023-07-24,202330,17,104,0,1,0,0
Alameda County,0-17,MALE,1,2023-07-31,202331,37,141,0,1,0,0
Alameda County,0-17,MALE,1,2023-08-07,202332,33,174,0,1,0,0
Alameda County,0-17,MALE,1,2023-08-14,202333,52,226,0,1,0,0
Alameda County,0-17,MALE,1,2023-08-21,202334,63,289,1,2,0,0
Alameda County,0-17,MALE,1,2023-08-28,202335,97,386,2,4,0,0
Alameda County,0-17,MALE,1,2023-09-04,202336,126,512,0,4,0,0
Alameda County,0-17,MALE,1,2023-09-11,202337,108,620,0,4,0,0
Alameda County,0-17,MALE,1,2023-09-18,202338,133,753,1,5,0,0
Alameda County,0-17,MALE,1,2023-09-25,202339,92,845,4,9,0,0
Alameda County,0-17,MALE,1,2023-10-02,202340,89,934,0,9,0,0
Alameda County,0-17,MALE,1,2023-10-09,202341,88,1022,3,12,0,0
Alameda County,0-17,MALE,1,2023-10-16,202342,105,1127,3,15,0,0
Alameda County,0-17,MALE,1,2023-10-23,202343,86,1213,2,17,0,0
Alameda County,0-17,MALE,1,2023-10-30,202344,48,1261,0,17,0,0
Alameda County,0-17,MALE,1,2023-11-06,202345,43,1304,0,17,0,0
Alameda County,0-17,MALE,1,2023-11-13,202346,14,1318,0,17,0,0
Alameda County,0-17,MALE,1,2023-11-20,202347,1,1319,0,17,0,0
Alameda County,0-17,MALE,1,2023-11-27,202348,3,1322,0,17,0,0
Alameda County,0-17,MALE,1,2023-12-04,202349,0,1322,0,17,0,0
Alameda County,0-17,MALE,1,2023-12-11,202350,1,1323,0,17,0,0
Alameda County,0-17,MALE,1,2023-12-18,202351,0,1323,0,17,0,0
Alameda County,0-17,MALE,1,2023-12-25,202352,0,1323,0,17,0,0
Alameda County,0-17,MALE,2,2023-05-29,202322,1,1,0,0,0,0
Alameda County,0-17,MALE,2,2023-06-05,202323,0,1,0,0,0,0
Alameda County,0-17,MALE,2,2023-06-12,202324,0,1,0,0,0,0
Alameda County,0-17,MALE,2,2023-06-19,202325,2,3,0,0,0,0
Alameda County,0-17,MALE,2,2023-06-26,202326,8,11,0,0,0,0
Alameda County,0-17,MALE,2,2023-07-03,202327,8,19,0,0,0,0
Alameda County,0-17,MALE,2,2023-07-10,202328,12,31,1,1,0,0
Alameda County,0-17,MALE,2,2023-07-17,202329,10,41,0,1,0,0
Alameda County,0-17,MALE,2,2023-07-24,202330,9,50,0,1,0,0
Alameda County,0-17,MALE,2,2023-07-31,202331,12,62,0,1,0,0
Alameda County,0-17,MALE,2,2023-08-07,202332,17,79,0,1,0,0
Alameda County,0-17,MALE,2,2023-08-14,202333,13,92,0,1,0,0
Alameda County,0-17,MALE,2,2023-08-21,202334,33,125,0,1,0,0
Alameda County,0-17,MALE,2,2023-08-28,202335,42,167,1,2,0,0
Alameda County,0-17,MALE,2,2023-09-04,202336,42,209,2,4,0,0
Alameda County,0-17,MALE,2,2023-09-11,202337,34,243,1,5,0,0
Alameda County,0-17,MALE,2,2023-09-18,202338,40,283,1,6,0,0
Alameda County,0-17,MALE,2,2023-09-25,202339,40,323,0,6,0,0
Alameda County,0-17,MALE,2,2023-10-02,202340,28,351,1,7,0,0
Alameda County,0-17,MALE,2,2023-10-09,202341,37,388,0,7,0,0
Alameda County,0-17,MALE,2,2023-10-16,202342,33,421,2,9,0,0
Alameda County,0-17,MALE,2,2023-10-23,202343,40,461,0,9,0,0
Alameda County,0-17,MALE,2,2023-10-30,202344,30,491,2,11,0,0
Alameda County,0-17,MALE,2,2023-11-06,202345,22,513,1,12,0,0
Alameda County,0-17,MALE,2,2023-11-13,202346,4,517,0,12,0,0
Alameda County,0-17,MALE,2,2023-11-20,202347,0,517,0,12,0,0
Alameda County,0-17,MALE,2,2023-11-27,202348,0,517,0,12,0,0
Alameda County,0-17,MALE,2,2023-12-04,202349,0,517,0,12,0,0
Alameda County,0-17,MALE,2,2023-12-11,202350,0,517,0,12,0,0
Alameda County,0-17,MALE,2,2023-12-18,202351,0,517,0,12,0,0
Alameda County,0-17,MALE,2,2023-12-25,202352,0,517,0,12,0,0
Alameda County,0-17,MALE,3,2023-05-29,202322,0,0,0,0,0,0
Alameda County,0-17,MALE,3,2023-06-05,202323,0,0,0,0,0,0
Alameda County,0-17,MALE,3,2023-06-12,202324,0,0,0,0,0,0
Alameda County,0-17,MALE,3,2023-06-19,202325,1,1,0,0,0,0
Alameda County,0-17,MALE,3,2023-06-26,202326,0,1,0,0,0,0
Alameda County,0-17,MALE,3,2023-07-03,202327,0,1,0,0,0,0
Alameda County,0-17,MALE,3,2023-07-10,202328,1,2,0,0,0,0
Alameda County,0-17,MALE,3,2023-07-17,202329,0,2,0,0,0,0
Alameda County,0-17,MALE,3,2023-07-24,202330,0,2,0,0,0,0
Alameda County,0-17,MALE,3,2023-07-31,202331,1,3,0,0,0,0
Alameda County,0-17,MALE,3,2023-08-07,202332,0,3,0,0,0,0
Alameda County,0-17,MALE,3,2023-08-14,202333,0,3,0,0,0,0
Alameda County,0-17,MALE,3,2023-08-21,202334,0,3,0,0,0,0
Alameda County,0-17,MALE,3,2023-08-28,202335,2,5,0,0,0,0
Alameda County,0-17,MALE,3,2023-09-04,202336,1,6,0,0,0,0
Alameda County,0-17,MALE,3,2023-09-11,202337,0,6,0,0,0,0
Alameda County,0-17,MALE,3,2023-09-18,202338,1,7,0,0,0,0
Alameda County,0-17,MALE,3,2023-09-25,202339,1,8,0,0,0,0
Alameda County,0-17,MALE,3,2023-10-02,202340,1,9,0,0,0,0
Alameda County,0-17,MALE,3,2023-10-09,202341,0,9,0,0,0,0
Alameda County,0-17,MALE,3,2023-10-16,202342,1,10,0,0,0,0
Alameda County,0-17,MALE,3,2023-10-23,202343,1,11,0,0,0,0
Alameda County,0-17,MALE,3,2023-10-30,202344,0,11,0,0,0,0
Alameda County,0-17,MALE,3,2023-11-06,202345,1,12,0,0,0,0
Alameda County,0-17,MALE,3,2023-11-13,202346,0,12,0,0,0,0
Alameda County,0-17,MALE,3,2023-11-20,202347,0,12,0,0,0,0
Alameda County,0-17,MALE,3,2023-11-27,202348,0,12,0,0,0,0
Alameda County,0-17,MALE,3,2023-12-04,202349,0,12,0,0,0,0
Alameda County,0-17,MALE,3,2023-12-11,202350,0,12,0,0,0,0
Alameda County,0-17,MALE,3,2023-12-18,202351,0,12,0,0,0,0
Alameda County,0-17,MALE,3,2023-12-25,202352,0,12,0,0,0,0
Alameda County,0-17,MALE,4,2023-05-29,202322,4,4,0,0,0,0
Alameda County,0-17,MALE,4,2023-06-05,202323,2,6,0,0,0,0
Alameda County,0-17,MALE,4,2023-06-12,202324,1,7,0,0,0,0
Alameda County,0-17,MALE,4,2023-06-19,202325,7,14,0,0,0,0
Alameda County,0-17,MALE,4,2023-06-26,202326,14,28,1,1,0,0
Alameda County,0-17,MALE,4,2023-07-03,202327,19,47,1,2,0,0
Alameda County,0-17,MALE,4,2023-07-10,202328,19,66,0,2,0,0
Alameda County,0-17,MALE,4,2023-07-17,202329,11,77,0,2,0,0
Alameda County,0-17,MALE,4,2023-07-24,202330,20,97,1,3,0,0
Alameda County,0-17,MALE,4,2023-07-31,202331,36,133,0,3,0,0
Alameda County,0-17,MALE,4,2023-08-07,202332,35,168,0,3,0,0
Alameda County,0-17,MALE,4,2023-08-14,202333,46,214,0,3,0,0
Alameda County,0-17,MALE,4,2023-08-21,202334,66,280,0,3,0,0
Alameda County,0-17,MALE,4,2023-08-28,202335,110,390,3,6,0,0
Alameda County,0-17,MALE,4,2023-09-04,202336,92,482,0,6,0,0
Alameda County,0-17,MALE,4,2023-09-11,202337,108,590,2,8,0,0
Alameda County,0-17,MALE,4,2023-09-18,202338,106,696,0,8,0,0
Alameda County,0-17,MALE,4,2023-09-25,202339,72,768,1,9,0,0
Alameda County,0-17,MALE,4,2023-10-02,202340,96,864,2,11,0,0
Alameda County,0-17,MALE,4,2023-10-09,202341,82,946,1,12,1,1
Alameda County,0-17,MALE,4,2023-10-16,202342,99,1045,1,13,0,1
Alameda County,0-17,MALE,4,2023-10-23,202343,67,1112,1,14,1,2
Alameda County,0-17,MALE,4,2023-10-30,202344,45,1157,0,14,0,2
Alameda County,0-17,MALE,4,2023-11-06,202345,30,1187,1,15,0,2
Alameda County,0-17,MALE,4,2023-11-13,202346,15,1202,1,16,0,2
Alameda County,0-17,MALE,4,2023-11-20,202347,4,1206,0,16,0,2
Alameda County,0-17,MALE,4,2023-11-27,202348,2,1208,0,16,0,2
Alameda County,0-17,MALE,4,2023-12-04,202349,0,1208,0,16,0,2
Alameda County,0-17,MALE,4,2023-12-11,202350,1,1209,0,16,0,2
Alameda County,0-17,MALE,4,2023-12-18,202351,0,1209,0,16,0,2
Alameda County,0-17,MALE,4,2023-12-25,202352,0,1209,0,16,0,2
Alameda County,0-17,MALE,5,2023-05-29,202322,0,0,0,0,0,0
Alameda County,0-17,MALE,5,2023-06-05,202323,0,0,0,0,0,0
Alameda County,0-17,MALE,5,2023-06-12,202324,0,0,0,0,0,0
Alameda County,0-17,MALE,5,2023-06-19,202325,1,1,0,0,0,0
Alameda County,0-17,MALE,5,2023-06-26,202326,0,1,0,0,0,0
Alameda County,0-17,MALE,5,2023-07-03,202327,1,2,0,0,0,0
Alameda County,0-17,MALE,5,2023-07-10,202328,1,3,0,0,0,0
Alameda County,0-17,MALE,5,2023-07-17,202329,1,4,0,0,0,0
Alameda County,0-17,MALE,5,2023-07-24,202330,0,4,0,0,0,0
Alameda County,0-17,MALE,5,2023-07-31,202331,0,4,0,0,0,0
